"difficulty","question","metric","dimension"
"L2","What is the MoM % change for YAGEO shipments in 2025-02?","mom_percent_change","brand, year_month"
"L2","What is the total OTR Qty for GREAT CHINA in 2025-02?","total_qty","GREAT CHINA"
"L2","What is the POA QoQ growth % for Capacitor in Q1 2025?","POA QoQ Growth %","pbg"
"L2","What is the POA Billed Hit Rate % for HON HAI in 2025-02?","POA Billed Hit Rate %","customer_parent"
"L2","What is the POA booked YoY growth % for Taiwan in 2025-02?","POA_BOOKED_YOY_GROWTH_PERCENT","['sub_unit', 'year_month']"
"L2","What is the total OTR qty for MLCC in 2025-03?","total_qty","pbu, year_month"
"L2","In Q3 2025, what is the total booked quantity for AUTOMOTIVE?","total_qty","pbu_1, year_quarter"
"L2","What is the total OTR Qty for Ceramic in 2025-02?","total_qty","pbu_2"
"L2","What is the POA MoM Growth % for focus_flag = Yes in 2025-02?","POA MoM Growth %","focus_flag, year_month"
"L2","What is the POA booked MoM growth % for FLEX in 2025-04?","POA_BOOKED_MOM_GROWTH_PERCENT","local_assembler = FLEX"
"L2","What is the POA YoY Growth % for HON HAI in 2025-03?","POA YoY Growth %","final_customer, year_month"
"L2","What is the MoM total_sales for AVNET in 2025-02?","MoM total_sales","['g7', 'year_month']"
"L2","What is the total billed qty for Yes in 2025-03?","total_qty","fu_us_oem_flag"
"L2","What is the POA Hit Rate %_QTD for accounts flagged as Global EMS = Yes in Q2 2025?","POA Hit Rate %_QTD","fu_global_ems_flag"
"L2","What's the BB Ratio for AVNET in 2025-02?","BB Ratio","g7"
"L2","What is the GM% for 2025-02 with the Yes flag in the OEM segment?","gm_percent","fu_emea_oem_flag"
"L2","Could you share the QoQ change in REP_A's total_sales for Q2 2025 (i.e., total_sales in Q2 2025 compared to Q1 2025)?","total_sales","erp_sales_rep"
"L2","What was the total_cost for order_type = 'shipments' in year_month = '2025-06'?","total_cost","order_type, year_month"
"L2","What is the POA booked qty for Greater China in 2025-03?","total_qty","ru"
"L2","What is the MoM growth in total_sales for product Capacitor in 2025-02, grouped by pbg?","total_sales_mom_growth","pbg"
"L2","What is the backlog_total_sales for HON HAI in 2025-08?","backlog_total_sales","customer_parent"
"L2","What is the POA booked YoY growth % for CHINA in 2025-02?","POA Booked YoY Growth %","sub_unit, year_month"
"L2","What is the QoQ percent change in total_sales for MLCC in Q2 2025?","QoQ_percent_change","['pbu', 'year_quarter']"
"L2","What are the total sales for AUTOMOTIVE in 2025-02?","Total Sales","pbu_1"
"L2","What is the Book-to-Bill Ratio for Ceramic in 2025-02?","BB Ratio (Value)","Ceramic"
"L2","What is the POA Booking MoM Growth % for YAGEO with focus_flag = Yes in 2025-02?","POA Booking MoM Growth %","brand, focus_flag, year_month"
"L2","What is the POA BILLED total_sales for local_assembler = FLEX in 2025-02?","total_sales","local_assembler"
"L2","What is the POA YoY Growth % for APPLE in 2025-02?","POA YoY Growth %","final_customer"
"L2","What is the ASP for AVNET in 2025-08?","ASP","g7 = 'AVNET', year_month = '2025-08'"
"L2","What is the POA backlog for accounts with the US OEM flag set to Yes in 2025-02?","poa_backlog","fu_us_oem_flag"
"L3","Show me a monthly breakdown of Total Billed Qty by order type for February 2025.","total_qty","order_type"
"L3","Who are the top 5 pbg by gross margin in 2024-12?","gross_margin","pbg"
"L3","Show me the breakdown of Total Sales by Sales Representative for 2025-02.","Total Sales","Sales Representative"
"L3","What are the POA OTR totals by Customer for 2025-06?","poa_otr_total","Customer"
"L3","Show me a breakdown of POA Hit Rate %_YTD by calendar year-month for each month from 2025-01 through 2026-02.","POA Hit Rate %_YTD","year month"
"L3","Show me a breakdown of YoY % by Sales Representative for the 2025 full year (compared to 2024).","YoY Sales Growth (%)","Sales Representative"
"L3","Who are the top 5 End Customers by Book-to-Bill Ratio for each quarter in 2024?","Book-to-Bill Ratio","End Customer"
"L3","Who are the top 5 End Customers by Total Budget in Q3 2024?","Total Budget","End Customer"
"L3","Who are the top 5 Regions by POA Hit Rate % in Q4 2024?","POA Hit Rate %","Region"
"L3","Show me a breakdown of GM% by End Customer for 2025-02.","GM%","End Customer"
"L3","Which five months in 2024 had the highest Average Selling Price (ASP)?","Average Selling Price (ASP)","year month"
"L3","Show me the Book-to-Bill Ratio breakdown by Local Assembler for 2025-04.","Book-to-Bill Ratio","Local Assembler"
"L3","Who are the top 5 order types by Total Cost in Q3 2024?","Total Cost","order type"
"L3","Show me a breakdown of Total Booked by Sub Unit for 2025-06.","Total Booked","Sub Unit"
"L3","Who are the top 5 g7 by Total OTR in Q3 2024 (JulySeptember 2024)?","total_otr","g7"
"L3","Show me the MoM % by pbg for 2025-02 (comparing to 2025-01).","MoM %","pbg"
"L3","Show me a breakdown of POA billed hit rate % by year month for the period 2025-01 through 2025-06.","POA Billed Hit Rate %","year month"
"L3","Show me a breakdown of POA BB Qty Ratio by PBG for 2025-02.","BB Qty Ratio","PBG"
"L3","Show me a breakdown of POA BILLED by order type for February 2025","total_sales","order type"
"L3","For Q3 2025, show me the QoQ growth in sales broken down by g7.","QoQ Sales Growth","g7"
"L3","Please provide a breakdown of Total Sales by year month for the period from 2024-01 through 2026-02 (inclusive). Use 'year month' as the time dimension in the results.","Total Sales","year month"
"L3","Show me the Total Booked Qty by Region for 2025-03.","total_qty","Region"
"L3","Who are the top 5 PBG by POA BB Qty Ratio in Q3 2024?","POA BB Qty Ratio","PBG"
"L3","For 2025-02, show me a breakdown of Total Booked by PBU 2.","Total Booked","PBU 2"
"L3","Who are the top 5 Regions by POA OTR Hit Rate % for the calendar year 2024?","OTR Hit Rate %","Region"
"L3","Who are the top 5 G7 by POA BB Qty Ratio in Q3 2024?","POA BB Qty Ratio","G7"
"L3","For 2025-08, show me a breakdown of POA BACKLOG by g7.","poa_backlog","g7"
"L3","Show me a breakdown of Total Booked by month (YYYY-MM) from 2025-01 through 2025-06.","Total Booked","YYYY-MM"
"L3","Who are the top 5 Sub Unit by YoY % growth in 2024 (vs 2023)?","YoY % growth","Sub Unit"
"L3","Show me a breakdown of POA BACKLOG Qty by pbu for 2025-04.","POA Backlog Qty","pbu"
"L4","Analyze POA booked quantity for 2024-11, broken out by region (ru) and product group (pbg).","POA Booking - Total Booked Quantity (total_qty from booking)","Time: 2024-11; Dimensions: ru (Region), pbg (Product Group)"
"L4","Calculate the Book-to-Bill ratio for AMERICAS in 2025-04 using POA OTR data (Bookings total_sales vs Billing total_sales, with all order_types included).","Book-to-Bill Ratio","{'ru': 'AMERICAS', 'year_month': '2025-04'}"
"L4","Calculate the POA Book-to-Bill ratio for JAPAN & KOREA in 2025-02 using POA Booking Qty (BOOKING) divided by POA Billing Qty (SHIPMENT).","Book-to-Bill Ratio (BookingQty / BillingQty)","{'year_month': '2025-02', 'region_unit': 'JAPAN & KOREA'}"
"L4","What is the QoQ % change in the Book-to-Bill ratio for JAPAN & KOREA in Q4 2024 compared to Q3 2024?","Book-to-Bill Ratio QoQ Growth","Region: JAPAN & KOREA"
"L4","Calculate the Book-to-Bill Ratio for February 2025 across all regions, defined as the sum(Booking.total_sales) divided by the sum(Billing.total_sales).","Book-to-Bill Ratio","year_month = '2025-02' (ALL REGIONS)"
"L4","Analyze POA QoQ Growth % for Q4 2024. Define QoQ Growth as the percent change in POA Billing total_sales from Q3 2024 to Q4 2024, and validate the result via cross-table validation against POA Booking total_sales for the same quarters to ensure consistency between Billing and Booking.","POA QoQ Growth % (Billing total_sales QoQ growth, cross-validated with Booking data)","Q4 2024"
"L4","Calculate the POA QoQ growth % for Billing (SHIPMENT) for Q4 2024 (Oct–Dec 2024) relative to the previous quarter Q3 2024. Provide the growth percentage and the QoQ delta in absolute USD terms as well.","POA QoQ Growth %","Quarter-over-quarter: Q4 2024 vs Q3 2024 (Billing, SHIPMENT)"
"L4","What was the Month-over-Month (MoM) change in the Book-to-Bill ratio for JAPAN & KOREA from 2024-12 to 2025-01? Provide both the absolute delta and the percentage growth.","Book-to-Bill MoM Change (delta and percentage growth)","{'region': 'JAPAN & KOREA'}"
"L4","Calculate the POA Book-to-Bill (BB) ratio for JAPAN & KOREA in 2025-02 using Booking totals as the numerator and Billing totals as the denominator.","BB Ratio (Booking / Billing)","{'year_month': '2025-02', 'region': 'JAPAN & KOREA'}"
"L4","Calculate the Book-to-Bill Ratio (BBR) for POA OTR, i.e., the ratio of Booking total sales to Billing total sales including all Billing order types, for JAPAN & KOREA in Q1 2025.","BB Ratio (Value)","year_qtr = 'Q1 2025', ru = 'JAPAN & KOREA'"
"L4","Calculate the POA Booking Year-over-Year Growth % for February 2025 across all regions.","POA Booking YoY Growth %","year_month = 2025-02; region = ALL"
"L4","Analyze Total OTR for February 2025 across all regions (Booking vs Billing), computing the Book-to-Bill Ratio as BookingTotalSales divided by BillingTotalSales.","Book-to-Bill Ratio (BookingTotalSales / BillingTotalSales)","year_month = '2025-02' (All Regions)"
"L4","What is the Book-to-Bill ratio for AMERICAS in 2025-06, calculated as SUM(Booking) / SUM(Billing) for that month?","Book-to-Bill Ratio","{'region': 'AMERICAS', 'year_month': '2025-06'}"
"L4","Calculate the Book-to-Bill ratio for JAPAN & KOREA for November 2024 using POA Booking (BOOKED) data and POA Billing (SHIPMENT) data.","Book-to-Bill Ratio","ru = 'JAPAN & KOREA', year_month = '2024-11'"
"L4","Calculate the Book-to-Bill ratio by quantity for the AMERICAS region in 2025-02, using BookingQty from the Booking table and BilledQty from the Billing table, and break the result down by Product Group (PBG = 'Capacitor').","BB Ratio (Qty)","{'year_month': '2025-02', 'ru': 'AMERICAS', 'pbg': 'Capacitor'}"
"L4","Calculate the Gross Margin percentage (GM%) for the customer APPLE in Q4 2024 (October30December 2024), using GM% = (total_sales - total_cost) / total_sales.","Gross Margin %","Customer: APPLE; Time: Q4 2024"
"L4","Analyze POA MoM Growth % (Billing) for AMERICAS for February 2025 (2025-02) by comparing POA Billing total in 2025-02 to 2025-01.","POA MoM Growth % (Billing)","Region = AMERICAS"
"L4","For 2025-12, compute the Budget Achievement % (Hit Rate) across all customers as (SUM(Billing.total_sales)) / NULLIF(SUM(Budget.total_budget), 0). Use a cross-table FULL OUTER JOIN on year_month and customer keys, but aggregate within each table by year_month and customer first (to avoid duplication), and then compute the ratio for year_month = '2025-12'. Provide the value with a regional breakdown by ru if available.","SUM(Billing.total_sales) / NULLIF(SUM(Budget.total_budget), 0)","year_month, ru"
"L4","Analyze the Gross Margin % (GM%) for JAPAN & KOREA for 2025-02, including gross profit, total_sales, and total_cost components, and provide a MoM comparison to 2025-01.","Gross Margin %","Time: 2025-02; Region: JAPAN & KOREA"
"L4","For the Americas region, for the month 2025-01, compute Gross Profit (GP) and Gross Margin % (GM%), and report the month-over-month change in GM% from 2024-12 to 2025-01.","['Gross Profit (GP)', 'Gross Margin % (GM%)']","ru = 'AMERICAS', year_month = '2025-01' (MoM GM% change vs 2024-12)"
"L4","What is the POA Year-over-Year Growth % for Billing in 2025-02, compared to 2024-02, broken down by region (ru)?","POA YoY Growth % (Billing)","ru (Region)"
"L4","Analyze the QoQ percentage change in the Book-to-Bill ratio for JAPAN & KOREA in Q4 2024 (Q4 2024 vs Q3 2024).","Book-to-Bill Ratio QoQ Change","JAPAN & KOREA"
"L4","Analyze the Total OTR Qty for AMERICAS in 2025-01.","OTR Total Quantity (Billing + Booking)","ru = 'AMERICAS' AND year_month = '2025-01'"
"L4","Calculate the BB Qty Ratio (BookingQty ÷ BillingQty) for the Americas region in 2025-02.","BB Qty Ratio (Volume)","region = 'AMERICAS'"
"L4","Analyze Total Billed Qty for March 2025 ('2025-03'). Report the total billed quantity (SUM(total_qty)) from the Billing table, broken out by region (ru), and compute the Month-over-Month growth versus February 2025 ('2025-02').","Total Billed Quantity (SUM(total_qty))","year_month = '2025-03' grouped by ru (Region)"
"L4","Analyze the Total Billed Qty for JAPAN & KOREA in Q1 2025 and compare it to Q4 2024 (QoQ).","Total Billed Qty","ru = 'JAPAN & KOREA'"
"L4","Compute the Book-to-Bill quantity ratio for POA booked quantity in Q1 2025 for the AMERICAS region.","BB Ratio (Qty) = SUM(Booking.total_qty) / NULLIF(SUM(Billing.total_qty), 0)","region = 'AMERICAS'"
"L4","What is the Year-over-Year growth rate of the Book-to-Bill ratio for JAPAN & KOREA in 2025-02 versus 2024-02?","YoY Growth in Book-to-Bill Ratio (Booking vs Billing)","JAPAN & KOREA"
"L4","Calculate the Year-over-Year change in Gross Margin % for the AMERICAS region and Capacitor product (pbg = 'Capacitor') between 2025-02 and 2024-02.","YoY Gross Margin % Change","Region: AMERICAS; Product: Capacitor"
"L4","Calculate the Year-over-Year percent change in the Book-to-Bill (BB) ratio for the Americas region (region code: AMERICAS) between 2024-02 and 2025-02. Compute BB for each period using monthly Booking and Billing data (BB = Bookings / Billings), then report the YoY growth as: ((BB_2025-02 - BB_2024-02) / BB_2024-02) * 100.","Book-to-Bill Ratio YoY Growth","Region: AMERICAS; Periods: 2025-02 vs 2024-02"
"L5","What is the POA Sales MoM Growth % for 2025-08?","Sales MoM Growth %","year_month"
"L5","What is the YoY sales growth for Greater China in 2025-08?","Sales YoY","year_month"
"L5","What is the YoY growth in Total Billed Qty for 2025-08 (vs 2024-08)?","Total Billed Qty YoY","year_month"
"L5","Analyze the POA Hit Rate % (YTD) for 2025 and compare it to the YTD for 2024 across all regions. Provide a month-by-month MoM trend for the 2025 YTD period using specific months (YYYY-MM) and indicate growth or decline month-over-month, as well as the overall YTD comparison between 2025 and 2024.","POA Hit Rate % (YTD)","year_month"
"L5","What is the GP YoY growth for 2025-08 across all regions?","GP YoY Growth","year_month"
"L5","What is the YoY % change in Sales for August 2025 (comparing Aug-2025 to Aug-2024) across all regions?","Sales YoY","year_month"
"L5","What is the Sales MoM growth rate (percent change) for POA OTR in 2025-08 compared to 2025-07?","Sales MoM","year_month"
"L5","What is the YoY growth rate in Total Billed Qty for Aug 2025 compared to Aug 2024 across all customers?","Total Billed Qty","year_month"
"L5","What was the POA OTR Qty QoQ change for Q3 2025 across all regions?","POA OTR Qty QoQ Change","quarter"
"L5","What is the Gross Profit (GP) for 2025-08, and how did it change MoM from 2025-07 and YoY from 2024-08? Please also indicate whether GP is trending up or down.","Gross Profit","year_month"
"L5","What was the YoY % change in Sales for August 2025 across all regions?","Sales YoY","year_month"
"L5","What is the QoQ change in total booked for Q3 2025 across all regions?","Bookings QoQ","year_quarter"
"L5","What is the YoY change in POA Billed Hit Rate % for 2025-08 compared to 2024-08 across all customers?","Hit Rate % (POA Billed)","year_month"
"L5","Analyze Total OTR Qty across time: what is the MoM growth for 2025-08, the QoQ growth for Q3 2025, and the YoY growth for 2025-08 (vs 2024-08) in Total OTR Qty across all regions?","Total OTR Qty","year_month"
"L5","What is the YoY growth in POA BILLED sales for 2025-08 across all regions?","POA BILLED Sales YoY Growth","year_month"
"L5","What is the MoM growth in POA booked quantity for 2025-08?","POA Booked Qty MoM","year_month"
"L5","What is the QoQ change in Budget Achievement % for Q2 2025 across all regions?","Budget Achievement % (Hit Rate %)","year_quarter"
"L5","What is the POA BB Qty Ratio QoQ change for Q3 2025?","BB Qty Ratio","quarter"
"L5","What is the YoY growth in POA BILLED sales for 2025-08 across all regions?","Sales YoY Growth Rate","year_month"
"L5","What is the year-over-year (YoY) change in Average Selling Price (ASP) for Greater China for August 2025 (i.e., comparing Aug 2025 to Aug 2024)?","ASP YoY growth","year_month"
"L5","What is the POA Backlog Qty MoM growth for 2025-08?","Backlog Qty MoM Growth","year_month"
"L5","What is the Sales MoM growth for POA BOOKED in 2025-08 across all regions?","Sales MoM","year_month"
"L5","What is the QoQ growth % in POA BOOKED sales for Q4 2025?","Sales QoQ","quarter"
"L5","What is the GM% YoY growth for 2025-08?","GM% YoY growth","year_month"
"L5","What is the QoQ change in the Book-to-Bill Ratio for Q3 2025 across all regions?","Book-to-Bill Ratio","year_quarter"
"L5","What is the POA Sales QoQ Growth % for Q3 2025 across all regions?","Sales QoQ Growth %","year_quarter"
"L5","What is the QoQ % change in Sales for Q4 2025 compared to Q3 2025 across all regions?","Sales QoQ","year_quarter"
"L5","What is the YoY growth in POA OTR sales for 2025-08?","Sales YoY","year_month"
"L5","What is the Year-over-Year (YoY) growth % for POA sales in February 2025 (comparing Feb 2025 to Feb 2024)?","Sales YoY Growth %","year_month"
"L5","What is the YoY percentage change in Hit Rate % for Aug 2025 relative to Aug 2024 across all customers? Please also provide the absolute Hit Rate % values for Aug 2025 and Aug 2024.","Hit Rate %","year_month"
