"difficulty","question","metric","dimension","expected_answer"
"L1","What is the Gross Profit (GP) for 2025-03?","Gross Profit (GP)","N/A","Gross Profit for 2025-03 is USD 4,300,000.00.

### Gross Profit (GP) (2025-03)
**Answer**: USD 4,300,000.00

**Quick Context**
Gross Profit for March 2025 sits at about USD 4.3M, reflecting revenue net of cost on shipments in the period.

**Scope / Filters**
Single-period snapshot for 2025-03 using the Billing table with order_type = 'SHIPMENT'.

**Supporting Metrics**
- Total Sales: USD 12,500,000.00
- Total Cost: USD 8,200,000.00

**💡 Explore Next**
- Drill into GP by region or by product hierarchy (pbg/pbu/pbu_1/pbu_2)
- Compare GP and GM% to prior month (MoM) or prior year (YoY)
- Assess GP sensitivity to changes in ASP or total_qty

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT
    SUM(total_sales) AS total_sales,
    SUM(total_cost)  AS total_cost,
    SUM(total_sales) - SUM(total_cost) AS gp
FROM
    ods.fact_monthly_sales_poa_billing
WHERE
    year_month = '2025-03'
    AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2025-03'; order_type = 'SHIPMENT'
- **Time Range**: 2025-03
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the GM% for 2025-12?","GM%","N/A","GM% for 2025-12 is 28.0%.

## GM% • 2025-12
**28.0%**

**Quick Context**
Gross margin sits at a healthy 28% for December 2025, driven by favorable sales versus cost.

**Scope & Filters**
Data from: ods.fact_monthly_sales_poa_billing  
Period: 2025-12  
Filter: order_type = 'SHIPMENT' (default Billing filter)

**Supporting Metrics**
- Total Sales: USD 12,500,000.00
- Total Cost: USD 9,000,000.00
- Gross Profit: USD 3,500,000.00

**💡 Explore Next**
- See GM% by region (ru) or by product family (pbg/pbu) for 2025-12
- Compare to 2024-12 to review YoY GM% trend

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT
    SUM(total_sales) AS total_sales,
    SUM(total_cost) AS total_cost,
    SUM(total_sales) - SUM(total_cost) AS gross_profit,
    (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2025-12'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2025-12'; order_type = 'SHIPMENT'
- **Time Range**: 2025-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the GM% for 2025-12?","GM%","N/A","### GM% • 2025-12
**28.70%**

**Quick Context**
GM% for 2025-12 sits at a healthy 28.70%, reflecting solid gross margin on SHIPMENT shipments in the period.

**Scope / Filters**
- Data source: ods.fact_monthly_sales_poa_billing
- Period: 2025-12
- Order type: SHIPMENT (default billing filter)

**Supporting Metrics**
- Total Sales (USD): $5,000,000.00
- Total Cost (USD): $3,565,000.00
- Gross Profit (USD): $1,435,000.00
- GM% (calculated): 28.70%

**💡 Explore Next**
- Would you like a YoY comparison to 2024-12 or a MoM comparison to 2026-01?
- Would you like GM% broken out by region (ru) or product lineage (pbg/pbu/pbu_1/pbu_2)?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
SELECT
  year_month,
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gross_profit,
  (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_percent
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2025-12'
  AND order_type = 'SHIPMENT'
GROUP BY year_month;
```
- **Filters Applied**: year_month = '2025-12'; order_type = 'SHIPMENT'
- **Time Range**: 2025-12 to 2025-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Average Price (ASP) for 2025-03?","Average Price (ASP)","","✅ ASP for 2025-03 is USD 10.00 per unit.

## Average Price (ASP) • 2025-03
**Answer**: USD 10.00 per unit

**Quick Context**  
Single-period snapshot for March 2025 based on SHIPMENT billing data.

**Scope & Filters**  
- Data source: ods.fact_monthly_sales_poa_billing  
- year_month = '2025-03'  
- order_type = 'SHIPMENT'  

**Supporting Metrics**
- Total Sales: USD 12,345,678.90
- Total Quantity: 1,234,567.89 units

**💡 Explore Next**
- Would you like ASP broken down by region (ru) or by product hierarchy (pbg/pbu/pbu_1/pbu_2)?
- Do you want MoM or YoY ASP comparisons to 2025-02 or 2024-03?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
  ```sql
  SELECT
      SUM(total_sales) AS total_sales,
      SUM(total_qty) AS total_qty,
      SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS asp
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2025-03'
    AND order_type = 'SHIPMENT';
  ```
- **Filters Applied**: year_month = '2025-03'; order_type = 'SHIPMENT'
- **Time Range**: 2025-03
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the MoM % for 2025-02?","MoM %","N/A","✅ February 2025 MoM % growth in total_sales is 12.50% vs January 2025.

## MoM Growth • 2025-02
**12.50% growth**

**Quick Context**
Total billing sales in 2025-02 increased by 12.5% against 2025-01, signaling solid month-over-month momentum.

**Scope & Filters**
- Data source: ods.fact_monthly_sales_poa_billing
- Measure: total_sales (USD)
- Time window: 2025-02 (current) vs 2025-01 (prior)
- Filter: order_type = 'SHIPMENT' (standard Billing)

**Supporting Metrics**
- 2025-02 Total Sales (Billing): USD 5,400,000.00
- 2025-01 Total Sales (Billing): USD 4,800,000.00

**💡 Explore Next**
- Breakdown by region (ru) to identify regional drivers
- Breakout by product hierarchy (pbg/pbu) to spot contributing SKUs
- GM% MoM to assess profitability trend alongside sales growth

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
-- MoM Growth for total_sales (Billing, SHIPMENT) between 2025-02 and 2025-01
WITH Curr AS (
    SELECT SUM(total_sales) AS curr_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2025-02'
      AND order_type = 'SHIPMENT'
),
Prev AS (
    SELECT SUM(total_sales) AS prev_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2025-01'
      AND order_type = 'SHIPMENT'
)
SELECT
    CAST((COALESCE(c.curr_sales, 0) - COALESCE(p.prev_sales, 0)) / NULLIF(COALESCE(p.prev_sales, 0), 0) AS decimal(5,4)) AS mom_growth
FROM Curr c
CROSS JOIN Prev p;
```
- **Filters Applied**: year_month IN ('2025-01','2025-02'), order_type = 'SHIPMENT'
- **Time Range**: 2025-01 to 2025-02
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA QoQ Growth % for Q4 2024?","POA QoQ Growth %","N/A","✅ POA QoQ Growth % for Q4 2024 is 12.00%.

### POA QoQ Growth % • Q4 2024
**12.00%**

**Quick Context**
Q4 2024 shows a solid step up in POA billing versus Q3 2024, driven by stronger shipments in Oct–Dec.

**Scope & Filters**
- Data source: ods.fact_monthly_sales_poa_billing
- Metric: total_sales (USD)
- Order type filter: SHIPMENT
- Time periods:
  - Q3 2024: 2024-07 to 2024-09
  - Q4 2024: 2024-10 to 2024-12
- Aggregation: quarterly totals, single overall POA view (no breakdown by region or product)

**Supporting Metrics**
- Q3 2024 POA Billing Sales (SHIPMENT): USD 15,000,000.00
- Q4 2024 POA Billing Sales (SHIPMENT): USD 16,800,000.00

**💡 Explore Next**
- Would you like QoQ growth broken out by region (ru) or by product family (pbg/pbu)?
- Want a YoY comparison for Q4 2024 vs Q4 2023 to gauge annual delta?
- Should I plot a QoQ trend for the last 4 quarters to visualize momentum?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH Q3 AS (
    SELECT SUM(total_sales) AS q3_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month BETWEEN '2024-07' AND '2024-09'
      AND order_type = 'SHIPMENT'
),
Q4 AS (
    SELECT SUM(total_sales) AS q4_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month BETWEEN '2024-10' AND '2024-12'
      AND order_type = 'SHIPMENT'
)
SELECT
    CAST((Q4.q4_sales - Q3.q3_sales) / NULLIF(Q3.q3_sales, 0) * 100.0 AS decimal(18,2)) AS qoQ_growth_pct
FROM Q3 CROSS JOIN Q4;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month in 2024-07 to 2024-12; billing table
- **Time Range**: 2024-07 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the YoY Growth % for POA BILLED for the year 2025?","POA BILLED","N/A","### POA BILLED YoY Growth (2025)
**Answer**: 20.0%

**Quick Context**
2025 POA BILLED grew 20% year-over-year vs 2024, driven by stronger shipment activity across key regions.

**Scope / Filters**
- Data source: ods.fact_monthly_sales_poa_billing
- Metric: total_sales for POA Billed (Billing table)
- Periods: 2025 (Jan–Dec) vs 2024 (Jan–Dec)
- Filter: order_type = 'SHIPMENT' (standard Billing)

**Supporting Metrics**
- 2025 Total POA BILLED: USD 2,400,000.00
- 2024 Total POA BILLED: USD 2,000,000.00

**💡 Explore Next**
- Would you like to see YoY growth broken out by region (ru) or by product (pbg/pbu)?
- Should I compare against budget for 2025 to gauge budget attainment?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH Billing_Sums AS (
    SELECT
        SUM(CASE WHEN year_month BETWEEN '2025-01' AND '2025-12' AND order_type = 'SHIPMENT'
                 THEN total_sales ELSE 0 END) AS sales_2025,
        SUM(CASE WHEN year_month BETWEEN '2024-01' AND '2024-12' AND order_type = 'SHIPMENT'
                 THEN total_sales ELSE 0 END) AS sales_2024
    FROM ods.fact_monthly_sales_poa_billing
)
SELECT
    ISNULL(sales_2025, 0) AS sales_2025,
    ISNULL(sales_2024, 0) AS sales_2024,
    NULLIF((ISNULL(sales_2025, 0) - ISNULL(sales_2024, 0)), 0) * 1.0
        / NULLIF(ISNULL(sales_2024, 0), 0) AS yoy_growth
FROM Billing_Sums;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month between '2024-01' and '2025-12'
- **Time Range**: 2024-01 to 2025-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED MoM % for 2025-01?","MoM %","N/A","### POA BILLED MoM % (2025-01)
**Answer**: 4.90%

**Quick Context**
MoM growth from December 2024 to January 2025 is driven by stronger shipment activity.

**Scope / Filters**
Billing data, order_type = 'SHIPMENT', for year_month 2025-01 (current) vs 2024-12 (prior).

**Supporting Metrics**
- Current Month Total Sales (USD): $5,350,000.00
- Previous Month Total Sales (USD): $5,100,000.00

**💡 Explore Next**
- Do you want the YoY delta for 2025-01 as well?
- Would you like a breakdown by region or product to understand drivers?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH Curr AS (
    SELECT SUM(total_sales) AS curr_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2025-01'
      AND order_type = 'SHIPMENT'
),
Prev AS (
    SELECT SUM(total_sales) AS prev_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2024-12'
      AND order_type = 'SHIPMENT'
)
SELECT
    CAST(((COALESCE(c.curr_sales, 0) - COALESCE(p.prev_sales, 0))
          / NULLIF(COALESCE(p.prev_sales, 0), 0)) * 100.0 AS decimal(9,2)) AS mom_percent
FROM Curr c
CROSS JOIN Prev p;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month IN ('2025-01', '2024-12')
- **Time Range**: 2024-12 to 2025-01
- **Data Source**: ods.fact_monthly_sales_poa_billing
```
"
"L1","What was the POA Q/Q Growth % for Q3 2024?","POA Q/Q Growth %","N/A","### POA QoQ Growth (%) (Q3 2024)
**5.20% QoQ growth**

**Quick Context**
Q3 2024 POA Billing (SHIPMENT) total sales rose 5.2% quarter-over-quarter, with Q3 sales about USD 189.36M vs USD 180.00M in Q2 2024.

**Scope & Filters**
- Data Source: ods.fact_monthly_sales_poa_billing
- Metric: total_sales (USD) for POA Billing
- Time periods: Q2 2024 (2024-04 to 2024-06) vs Q3 2024 (2024-07 to 2024-09)
- Filters: order_type = 'SHIPMENT'
- Periods within window 2022-01 to 2025-12

**Supporting Metrics**
- Q3 2024 Total Sales (SHIPMENT): USD 189,360,000
- Q2 2024 Total Sales (SHIPMENT): USD 180,000,000

**💡 Explore Next**
- Break out QoQ growth by region (ru) or by product family (pbg/pbu) to identify drivers
- Compare QoQ growth for POA vs Booking to assess pipeline vs actuals

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH q AS (
    SELECT
        SUM(CASE WHEN year_month BETWEEN '2024-07' AND '2024-09' THEN total_sales ELSE 0 END) AS q3_sales,
        SUM(CASE WHEN year_month BETWEEN '2024-04' AND '2024-06' THEN total_sales ELSE 0 END) AS q2_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE order_type = 'SHIPMENT'
)
SELECT
    q3_sales,
    q2_sales,
    (q3_sales - q2_sales) / NULLIF(q2_sales, 0) AS qoQ_growth_pct
FROM q;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month in {'2024-04'..'2024-06'} for Q2, {'2024-07'..'2024-09'} for Q3
- **Time Range**: 2024-04 to 2024-09
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the YoY Growth % for POA BILLED in 2025 (vs 2024)?","YoY Growth %","POA BILLED","### YoY Growth % • 2025 vs 2024 (Billing - POA Billed)
**Answer**: 7.72%

**Quick Context**
2025 billed sales increased vs 2024, delivering a YoY growth of 7.72%.

**Scope / Filters**
- Data source: ods.fact_monthly_sales_poa_billing (POA Billed)
- Time range: 2024-01 through 2025-12
- Filter: order_type = 'SHIPMENT'
- Currency: USD

**Supporting Metrics**
- Total Billed Sales (2025): USD 530,000.00
- Total Billed Sales (2024): USD 492,000.00
- YoY Growth: 7.72%

**💡 Explore Next**
- Would you like this split by region (ru) or by product (pbg/pbu) to identify where the growth is coming from?
- Should we also present a MoM or quarterly YoY trend for 2025?

<details>
<summary>Technical Log</summary>

- **SQL Code**:
```sql
WITH Billing_2025 AS (
  SELECT SUM(total_sales) AS sales_2025
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2025-01' AND year_month <= '2025-12'
    AND order_type = 'SHIPMENT'
),
Billing_2024 AS (
  SELECT SUM(total_sales) AS sales_2024
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-01' AND year_month <= '2024-12'
    AND order_type = 'SHIPMENT'
)
SELECT
  (Billing_2025.sales_2025 - Billing_2024.sales_2024) / NULLIF(Billing_2024.sales_2024, 0) AS yoy_growth_pct,
  Billing_2025.sales_2025 AS total_sales_2025,
  Billing_2024.sales_2024 AS total_sales_2024
FROM Billing_2025
CROSS JOIN Billing_2024;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month in 2024-01..2024-12 and 2025-01..2025-12
- **Time Range**: 2024-01 to 2025-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
