"difficulty","question","metric","dimension","expected_answer"
"L1","What is the Gross Profit (GP) for 2024-06?","Gross Profit (GP)","N/A","### Gross Profit (2024-06)
**Answer**: USD 2,250,000.00

**Scope / Confidence**
- Includes all SHIPMENT billing records for 2024-06 (single total, no breakdown by brand or region)
- **Data status**: Month-end closed

**Context (optional)**
- Gross Profit is calculated as total_sales minus total_cost for SHIPMENT records in June 2024.

[Would you like a breakdown by brand, region, or product hierarchy?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT
  SUM(total_sales) AS total_sales,
  SUM(total_cost) AS total_cost,
  SUM(total_sales) - SUM(total_cost) AS gross_profit
FROM
  ods.fact_monthly_sales_poa_billing
WHERE
  year_month = '2024-06'
  AND order_type = 'SHIPMENT';
```

- **Filters Applied**: year_month = '2024-06'; order_type = 'SHIPMENT'
- **Time Range**: 2024-06 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Gross Margin % for 2024-12?","Gross Margin % (GM%)","N/A","### Gross Margin % (2024-12)
**Answer**: 34.20%

**Scope / Confidence**
- Includes all shipments for 2024-12 (single-period snapshot; no breakdown by brand or region)
- **Data status**: Month-end closed

**Context (optional)**
- GM% = (Total_Sales - Total_Cost) / NULLIF(Total_Sales, 0). This period uses Shipments only; costs captured for SHIPMENT orders.

Would you like a breakdown by brand or ru (region) for this period?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT
    (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) AS gm_pct
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-12'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2024-12'; order_type = 'SHIPMENT'
- **Time Range**: 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Gross Margin % (GM%) for 2024-12?","Gross Margin % (GM%)","N/A","### GM% (2024-12)
**Answer**: 46.00%

**Scope / Confidence**
- Single-period snapshot for SHIPMENT billing (no breakdowns by brand/region)
- **Data status**: Month-end closed

**Context (optional)**
- GM% is calculated as (Total_Sales - Total_Cost) / NULLIF(Total_Sales, 0). For 2024-12, GM% = 46.00%.

Would you like a MoM/YoY comparison or a breakdown by brand or region?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT
    SUM(total_sales) AS total_sales,
    SUM(total_cost) AS total_cost,
    CASE WHEN SUM(total_sales) = 0 THEN NULL
         ELSE (SUM(total_sales) - SUM(total_cost)) / NULLIF(SUM(total_sales), 0) * 100
    END AS gm_percent
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-12'
    AND order_type = 'SHIPMENT';
- **Filters Applied**: year_month = '2024-12'; order_type = 'SHIPMENT'
- **Time Range**: 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the Average Selling Price (ASP) for December 2024 across all products?","Average Selling Price (ASP)","All products","### Average Selling Price (December 2024)
**Answer**: USD 24.50 per unit

**Scope / Confidence**
- Includes all products; no breakdowns by brand or product group
- **Data status**: Month-end closed

**Context (optional)**
- ASP represents the average selling price per unit across all SHIPMENT orders for December 2024.

Would you like ASP broken down by product category (pbg/pbu) or by region (ru)?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```
SELECT
  SUM(total_sales) / NULLIF(SUM(total_qty), 0) AS asp
FROM ods.fact_monthly_sales_poa_billing
WHERE year_month = '2024-12'
  AND order_type = 'SHIPMENT';
```
- **Filters Applied**: year_month = '2024-12'; order_type = 'SHIPMENT'
- **Time Range**: 2024-12 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the MoM % for 2024-12?","MoM %","N/A","### MoM Growth (2024-12)
**Answer**: 9.38%

**Scope / Confidence**
- Includes all shipments for the period (Billing, order_type = 'SHIPMENT')
- **Data status**: Month-end closed

**Context (optional)**
- MoM change in total_sales: 2024-11 USD 4,800,000 -> 2024-12 USD 5,250,000
- Delta (Current - Prior): USD 450,000
- MoM Growth: 9.38%

Would you like a breakdown by region or product line?

<details>
<summary>Technical Log</summary>

- **SQL Query**:
  WITH Curr AS (
    SELECT SUM(total_sales) AS curr_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2024-12' AND order_type = 'SHIPMENT'
  ),
  Prior AS (
    SELECT SUM(total_sales) AS prior_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month = '2024-11' AND order_type = 'SHIPMENT'
  )
  SELECT
    curr.curr_sales AS curr_sales,
    prior.prior_sales AS prior_sales,
    (curr.curr_sales - prior.prior_sales) AS delta_sales,
    (curr.curr_sales - prior.prior_sales) / NULLIF(prior.prior_sales, 0) AS mom_growth
  FROM Curr curr CROSS JOIN Prior prior;

- **Filters Applied**: year_month IN ('2024-12', '2024-11'); order_type = 'SHIPMENT'
- **Time Range**: 2024-11 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA Q/Q Growth % for Q3 2024?","POA Q/Q Growth %","N/A","### POA QoQ Growth (Q3 2024)
**Answer**: 12.50%

**Scope / Confidence**
- Includes all SHIPMENT (Billing) records for POA in Q3 2024 vs Q2 2024 across all regions and product lines
- **Data status**: Month-end closed

**Context (optional)**
- QoQ growth is calculated as (Q3 2024 total_sales - Q2 2024 total_sales) / Q2 2024 total_sales
- Delta: USD 3,500,000 | Growth: 12.50%

[Would you like this broken down by region (ru) or by brand (pbg/pbu)?]

<details>
<summary>Technical Log</summary>

- **SQL Query**:
WITH curr AS (
  SELECT SUM(total_sales) AS curr_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month BETWEEN '2024-07' AND '2024-09'
    AND order_type = 'SHIPMENT'
),
prev AS (
  SELECT SUM(total_sales) AS prev_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month BETWEEN '2024-04' AND '2024-06'
    AND order_type = 'SHIPMENT'
)
SELECT
  (curr.curr_sales / NULLIF(prev.prev_sales, 0) - 1) AS growth_pct
FROM curr CROSS JOIN prev;

- **Filters Applied**: order_type = 'SHIPMENT'; year_month in Q3 2024 and Q2 2024
- **Time Range**: Q2 2024 (2024-04 to 2024-06) vs Q3 2024 (2024-07 to 2024-09)
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED YoY Growth % for 2024 (vs 2023)?","POA BILLED YoY Growth %","N/A","### POA BILLED YoY Growth (2024 vs 2023)
**Answer**: USD 128,450,000.00 (YoY: +18,450,000.00 | +16.77%)

**Scope / Confidence**
- Includes all SHIPMENT billing records for 2024 vs 2023 (POA Billing)
- **Data status**: Month-end closed

**Context (optional)**
- YoY growth driven by stronger shipping realizations in 2024 across key product groups. Would you like a breakdown by region or customer to understand drivers?

[Follow-up suggestion] Would you like a breakdown by region or customer to understand drivers?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
```sql
WITH Curr AS (
  SELECT SUM(total_sales) AS curr_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2024-01' AND year_month <= '2024-12'
    AND order_type = 'SHIPMENT'
),
Prior AS (
  SELECT SUM(total_sales) AS prior_sales
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2023-01' AND year_month <= '2023-12'
    AND order_type = 'SHIPMENT'
)
SELECT
  Curr.curr_sales AS billing_2024_sales,
  Prior.prior_sales AS billing_2023_sales,
  (Curr.curr_sales - Prior.prior_sales) AS delta_sales,
  (Curr.curr_sales - Prior.prior_sales) / NULLIF(Prior.prior_sales, 0) AS yoy_growth
FROM Curr CROSS JOIN Prior;
```
- **Filters Applied**: order_type = 'SHIPMENT'; year_month between 2024-01 and 2024-12 for Curr; year_month between 2023-01 and 2023-12 for Prior
- **Time Range**: 2023-01 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BILLED M/M Growth % for 2024-12?","POA BILLED M/M Growth %","2024-12","### POA BILLED M/M Growth % (2024-12)
**Answer**: USD 4,567,890.34 (MoM: 455,544.67 | 11.07%)

**Scope / Confidence**
- Includes all SHIPMENT-based Billing totals for 2024-12 and 2024-11
- **Data status**: Month-end closed

**Context (optional)**
- MoM growth indicates solid demand acceleration into December 2024.

Would you like a breakdown by region or brand to see where the growth is strongest?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  WITH Curr AS (
      SELECT SUM(total_sales) AS curr_sales
      FROM ods.fact_monthly_sales_poa_billing
      WHERE year_month = '2024-12'
        AND order_type = 'SHIPMENT'
  ),
  Prior AS (
      SELECT SUM(total_sales) AS prior_sales
      FROM ods.fact_monthly_sales_poa_billing
      WHERE year_month = '2024-11'
        AND order_type = 'SHIPMENT'
  )
  SELECT
      curr_sales AS current_period_sales,
      prior_sales AS prior_period_sales,
      (curr_sales - prior_sales) AS delta_sales,
      (curr_sales - prior_sales) / NULLIF(prior_sales, 0) AS growth_pct
  FROM Curr, Prior;

- **Filters Applied**: year_month IN ('2024-12', '2024-11'), order_type = 'SHIPMENT'
- **Time Range**: 2024-11 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What was the POA QoQ Growth % for Q2 2024?","POA QoQ Growth %","N/A","### POA QoQ Growth % (Q2 2024)
**Answer**: 10.29% (Δ: USD 2,450,000.00 | QoQ Growth: 10.29%)

**Scope / Confidence**
- Includes all shipments (SHIPMENT) across all regions and brands
- **Data status**: Month-end closed

**Context (optional)**
- QoQ growth from Q1 2024 to Q2 2024 indicates a notable increase in POA revenue driven by shipments.

Would you like a breakdown by region or product group?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  WITH q2 AS (
    SELECT SUM(total_sales) AS q2_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-04','2024-05','2024-06')
      AND order_type = 'SHIPMENT'
  ),
  q1 AS (
    SELECT SUM(total_sales) AS q1_sales
    FROM ods.fact_monthly_sales_poa_billing
    WHERE year_month IN ('2024-01','2024-02','2024-03')
      AND order_type = 'SHIPMENT'
  )
  SELECT
    COALESCE(q2.q2_sales,0) AS q2_sales,
    COALESCE(q1.q1_sales,0) AS q1_sales,
    (COALESCE(q2.q2_sales,0) - COALESCE(q1.q1_sales,0)) AS delta_sales,
    CASE WHEN q1.q1_sales = 0 THEN NULL ELSE (COALESCE(q2.q2_sales,0) - COALESCE(q1.q1_sales,0)) / NULLIF(q1.q1_sales,0) * 100 END AS qo_q_growth_pct
  FROM q2 CROSS JOIN q1;

- **Filters Applied**: year_month in 2024-01 to 2024-06; order_type = 'SHIPMENT'
- **Time Range**: 2024-01 to 2024-06
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the YoY growth percentage for POA BILLED in 2024 (vs 2023)?","YoY Growth %","N/A","### YoY Growth (Billing POA BILLED) (2024 vs 2023)
**Answer**: 16.67% (YoY: -3.33 pp | -16.67%)

**Scope / Confidence**
- Includes all SHIPMENT billing across all regions and customers
- **Data status**: Month-end closed

**Context (optional)**
- YoY growth for POA BILLED in 2024 vs 2023 is 16.67%. For context, the prior-year growth (2023 vs 2022) was 20.00%, yielding a delta of -3.33 percentage points and a growth-rate change of -16.67%.

Would you like a breakdown by region or customer to understand the drivers behind this change?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
WITH totals AS (
  SELECT
    SUM(CASE WHEN year_month BETWEEN '2024-01' AND '2024-12' THEN total_sales END) AS sales_2024,
    SUM(CASE WHEN year_month BETWEEN '2023-01' AND '2023-12' THEN total_sales END) AS sales_2023,
    SUM(CASE WHEN year_month BETWEEN '2022-01' AND '2022-12' THEN total_sales END) AS sales_2022
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month >= '2022-01' AND year_month <= '2024-12'
    AND order_type = 'SHIPMENT'
)
SELECT
  CASE WHEN sales_2023 = 0 THEN NULL ELSE (sales_2024 - sales_2023) / NULLIF(sales_2023, 0) END AS yoy_growth_2024,
  CASE WHEN sales_2022 = 0 THEN NULL ELSE (sales_2023 - sales_2022) / NULLIF(sales_2022, 0) END AS yoy_growth_2023,
  CASE WHEN sales_2023 = 0 THEN NULL ELSE ((sales_2024 - sales_2023) / NULLIF(sales_2023, 0)) - ((sales_2023 - sales_2022) / NULLIF(sales_2022, 0)) END AS delta_yoy,
  CASE WHEN ((sales_2023 - sales_2022) / NULLIF(sales_2022, 0)) = 0 THEN NULL
       ELSE (((sales_2024 - sales_2023) / NULLIF(sales_2023, 0)) - ((sales_2023 - sales_2022) / NULLIF(sales_2022, 0)))
            / ((sales_2023 - sales_2022) / NULLIF(sales_2022, 0)) END AS growth_vs_previous_yoy
FROM totals;

- **Filters Applied**: year_month BETWEEN 2022-01 and 2024-12; order_type = 'SHIPMENT'
- **Time Range**: 2022-01 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BACKLOG for 2024-09?","POA BACKLOG","N/A","### Backlog (2024-09)
**Answer**: USD 2,430,150.75

**Scope / Confidence**
- Includes all backlog orders (order_type <> 'SHIPMENT') from the Billing table for 2024-09
- Data status: Month-end closed

**Context (optional)**
- Backlog represents outstanding orders not yet shipped as of 2024-09. If you’d like, I can break this down by region, product group, or customer.

[Follow-up suggestion: Would you like a breakdown by ru, brand, or pbu?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT
      SUM(total_sales) AS backlog_total_sales,
      SUM(total_qty) AS backlog_total_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-09'
    AND order_type <> 'SHIPMENT';

- **Filters Applied**: year_month = '2024-09'; order_type <> 'SHIPMENT'

- **Time Range**: 2024-09 to 2024-09

- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BACKLOG Qty for 2024-12?","POA BACKLOG Qty","N/A","### POA BACKLOG Qty (2024-12)
**Answer**: 8,420 units

**Scope / Confidence**
- Includes all backlog orders for 2024-12 defined as order_type <> 'SHIPMENT' in the Billing table (ods.fact_monthly_sales_poa_billing)
- **Data status**: Month-end closed

**Context (optional)**
- Backlog quantity represents non-shipment backlog units slated for future fulfillment as of December 2024. 

Would you like a breakdown by region (ru) or product group (pbg/pbu) for deeper insight?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_qty) AS backlog_qty
  FROM ods.fact_monthly_sales_poa_billing
  WHERE year_month = '2024-12'
    AND order_type <> 'SHIPMENT';
- **Filters Applied**: year_month = '2024-12'; order_type <> 'SHIPMENT'
- **Time Range**: 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_billing
</details>"
"L1","What is the POA BOOKED total for 2024-12?","POA BOOKED","N/A","### POA Booking Total (2024-12)
**Answer**: USD 1,234,567.89

**Scope / Confidence**
- Includes all bookings for 2024-12 across all customers and product groups
- **Data status**: Month-end closed

**Context (optional)**
- This is the POA Booking total value for 2024-12. Would you like a breakdown by region, customer, or product group?

[Recommended next step]
- Would you like a breakdown by ru, brand, or pbg/pbu?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  SELECT SUM(total_sales) AS booked_total_sales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month = '2024-12';
- **Filters Applied**: year_month = '2024-12'
- **Time Range**: 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the POA BOOKED Qty for 2024-12?","POA BOOKED Qty","N/A","### POA BOOKED Qty (2024-12)
**Answer**: 9,214 units

**Scope / Confidence**
- Includes all POA bookings for 2024-12 (no breakdown by brand/region)
- **Data status**: Month-end closed

**Context (optional)**
- This reflects the total quantity booked in the POA Booking table for December 2024. Would you like a YoY or MoM comparison, or a breakdown by product or customer?

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
  - SELECT SUM(total_qty) AS booked_qty
    FROM ods.fact_monthly_sales_poa_booking
    WHERE year_month = '2024-12';
- **Filters Applied**: year_month = '2024-12'
- **Time Range**: 2022-01 to 2025-10
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
"L1","What is the POA BOOKED M/M Growth % for 2024-12?","POA BOOKED M/M Growth %","N/A","### POA BOOKED M/M Growth % (2024-12)
**Answer**: 6.15%

**Scope / Confidence**
- Includes Booking totals for 2024-12 vs 2024-11
- **Data status**: Month-end closed

**Context (optional)**
- MoM Growth computed as (2024-12 Booking Sales - 2024-11 Booking Sales) / 2024-11 Booking Sales
- Delta (USD): 320,000; Growth: 6.15%

[Would you like a breakdown by region or customer?]

<details>
<summary>Technical Log</summary>

- **SQL Query**: 
WITH t AS (
  SELECT year_month, SUM(total_sales) AS sales
  FROM ods.fact_monthly_sales_poa_booking
  WHERE year_month IN ('2024-11','2024-12')
  GROUP BY year_month
)
SELECT (t12.sales - t11.sales) AS delta_sales,
       (t12.sales - t11.sales) / NULLIF(t11.sales, 0) AS mom_growth
FROM (SELECT sales FROM t WHERE year_month = '2024-12') t12
CROSS JOIN (SELECT sales FROM t WHERE year_month = '2024-11') t11;

- **Filters Applied**: year_month in ('2024-11','2024-12')
- **Time Range**: 2024-11 to 2024-12
- **Data Source**: ods.fact_monthly_sales_poa_booking
</details>"
